index,acronym1,acronym2,herbName,institutionType,sizeNumber,state
165,BLH,,Cranbrook Institute of Science: Billington Herbarium,private,57905,MI
166,CALVIN,,Calvin College,university,76000,MI
167,CMC,,Central Michigan University,university,26000,MI
168,ELOWE,,Edward Lowe Foundation Herbarium,private,750,MI
169,EMC,,Eastern Michigan University,university,25000,MI
170,GOCC,,Glen Oaks Community College Herbarium,university,0,MI
171,HLSD,,Hillsdale College,university,3900,MI
172,IRP,,Isle Royale National Park,federal,2200,MI
173,KBSMS,,"Michigan State University, Kellogg Biological Station",biological field station,7079,MI
174,LSSU,,Lake Superior State University,university,0,MI
175,MCT,,Michigan Technological University,university,11710,MI
176,MICH,UMBS,University of Michigan,university,1700000,MI
177,MSC,,Michigan State University,university,560000,MI
178,MUSK,,Muskegon Community College,university,600,MI
179,NM,,Northern Michigan University,university,6000,MI
180,OLV,,Olivet College,university,1500,MI
181,ONF,,Ottawa National Forest Herbarium,federal,3000,MI
182,PCCI,,Pierce Cedar Creek Institute,private,0,MI
183,SEN,,Seney National Wildlife Refuge Herbarium,federal,400,MI
184,UMBS,,University of Michigan Biological Station,biological field station,18188,MI
185,WMU,,Western Michigan University,university,33000,MI
186,WUD,,Wayne State University,university,17000,MI
188,TSJC,,Trinidad State Junior College,university,580,CO
