responseVariable,modelName,modelFormula,AIC,dAIC,weight
unique_county,m1,unique_county ~ sizeClass + (1 | state),11022,64.4,0
unique_county,m2,unique_county ~ status + (1 | state),11076,118.3,0
unique_county,mGLOBAL,unique_county ~ sizeClass + status + (1 | state),10958,0,1
unique_county,mNULL,unique_county ~ 1 + (1 | state),11123,165.5,0
unique_locality,m1,unique_locality ~ sizeClass + (1 | state),17422,90,0
unique_locality,m2,unique_locality ~ status + (1 | state),17365,32.7,0
unique_locality,mGLOBAL,unique_locality ~ sizeClass + status + (1 | state),17332,0,1
unique_locality,mNULL,unique_locality ~ 1 + (1 | state),17459,126.9,0
unique_time,m1,unique_time ~ sizeClass + (1 | state),20460,52.8,0
unique_time,m2,unique_time ~ status + (1 | state),20566,158.5,0
unique_time,mGLOBAL,unique_time ~ sizeClass + status + (1 | state),20408,0,1
unique_time,mNULL,unique_time ~ 1 + (1 | state),20616,208.8,0
