responseVariable,modelName,modelFormula,AIC,dAIC,weight
unique_county,m1,unique_county ~ sizeClass + (1 | state),11022,62.4,0
unique_county,m2,unique_county ~ status + (1 | state),11093,133.1,0
unique_county,mGLOBAL,unique_county ~ sizeClass + status + (1 | state),10960,0,1
unique_county,mNULL,unique_county ~ 1 + (1 | state),11138,177.4,0
unique_locality,m1,unique_locality ~ sizeClass + (1 | state),17413,85.5,0
unique_locality,m2,unique_locality ~ status + (1 | state),17346,18.8,0
unique_locality,mGLOBAL,unique_locality ~ sizeClass + status + (1 | state),17328,0,1
unique_locality,mNULL,unique_locality ~ 1 + (1 | state),17435,107.4,0
unique_time,m1,unique_time ~ sizeClass + (1 | state),20453,52.1,0
unique_time,m2,unique_time ~ status + (1 | state),20534,132.8,0
unique_time,mGLOBAL,unique_time ~ sizeClass + status + (1 | state),20401,0,1
unique_time,mNULL,unique_time ~ 1 + (1 | state),20582,181,0
