responseVariable,modelName,modelFormula,AIC,dAIC,weight
unique_county,m1,unique_county ~ sizeClass + (1 | state),11022,67.9,0
unique_county,m2,unique_county ~ status + (1 | state),11088,133.9,0
unique_county,mGLOBAL,unique_county ~ sizeClass + status + (1 | state),10955,0,1
unique_county,mNULL,unique_county ~ 1 + (1 | state),11138,182.9,0
unique_locality,m1,unique_locality ~ sizeClass + (1 | state),17413,88.7,0
unique_locality,m2,unique_locality ~ status + (1 | state),17343,18.6,0
unique_locality,mGLOBAL,unique_locality ~ sizeClass + status + (1 | state),17324,0,1
unique_locality,mNULL,unique_locality ~ 1 + (1 | state),17435,110.5,0
unique_time,m1,unique_time ~ sizeClass + (1 | state),20453,51.9,0
unique_time,m2,unique_time ~ status + (1 | state),20534,132.6,0
unique_time,mGLOBAL,unique_time ~ sizeClass + status + (1 | state),20402,0,1
unique_time,mNULL,unique_time ~ 1 + (1 | state),20582,180.7,0
